SITE,name,place,parish_mod,parish_med,sculpt,SITE_TYPE,cenel,parish_ch,Pre-Settlement,pre-Ritual,NMR_num,chapel,chapel_lengh,chapel_width,door,orientation,material,date stand rem,enclosure,enclosure_dimen,materials,number_cists
ldaig,Cill choluim-Chille,Ledaig,ardchattan and muckairn,ardchattanl,FALSE,encps,Loairn,FALSE,>1,>1,NM93NW 8,TRUE,11,4,ind,E-W,ind,ind,TRUE,ind,ind,0
bamod,Baile Mhaodain,Ardchattan,ardchattan and muckairn,ardchattanl,FALSE,encps,Loairn,TRUE,>1,<3,NM93NE 1,TRUE,17.5,6.4,south,W-E,inc,15c.,TRUE,ind,drystone,0
archt,Ardchattan Priory,Lorn,ardchattan and muckairn,ardchattanl,TRUE,modsc,Loairn,FALSE,>1,<3,NM93SE 1,FALSE,,,,,,,FALSE,,,0
klngc,Killunaig,Coll,coll,coll,FALSE,encps,Loairn,TRUE,<3,>1,NM26SW 3,TRUE,10.1,5,W of S,E-W,rubble and lime mortar,late medieval,TRUE ,inc,inc,0
csspl,Crossapol,Coll,coll,coll,FALSE,encps,Loairn,FALSE,>1,<3,NM15SW 9,TRUE,ind,ind,ind,ind,ind,ind,TRUE,inc,inc,0
gunna,Gunna,coll,coll,coll,FALSE,uncps,Loairn,FALSE,>2,<3,NM05SE 2,TRUE,3.5,2.5,N of E,ENE-WSW,stone?,ind,FALSE,,,0
klbdc,KilbrideColl,Coll,coll,coll,FALSE,encem,Loairn,FALSE,>1,<2, NM15SE 9,FALSE,,,,,,,TRUE ,43m diameter,drystone,0
clcnn,Cill Choinnich,Colonsay,colonsay and oronsay,colonsayi,FALSE,uncps,Loairn,FALSE,>2,>2,NR39SE 10,TRUE,5,3,ind,E-W,drystone,ind,FALSE,,,0
tmagc,Teampull A'Ghlinne,Colonsay,colonsay and oronsay,colonsayi,FALSE,uncps,Loairn,FALSE,>1,>1,NR39SE 9,TRUE,8,4.2,W of S,E-W,rubble lime mortar,14th c.,FALSE,,,0
urggc,Uragaig,Colonsay,colonsay and oronsay,colonsayi,FALSE,encps,Loairn,FALSE,>1,>1,NR39NE 8,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,10 x 14,stone,0
riasg,Riasg Buidhe,"Kiloran, Colonsay",colonsay and oronsay,colonsayi,TRUE,encps,Loairn,FALSE,>1,>2,NR49NW 8,TRUE,6,3.8,ind,E-W,stone?,ind,TRUE ,ind,rubble,0
clbdc,Cill Chatriona,"Balnahard, Colonsay",colonsay and oronsay,colonsayi,TRUE,encps,Loairn,FALSE,>1,>1,NR49NW 1,TRUE,7.1,3.5,south,E-W,stone?,ind,TRUE ,inc,inc,0
klctc,KilchattanC,Colonsay,colonsay and oronsay,colonsayi,FALSE,encps,Loairn,TRUE,>1,>1,NR39NE 7,TRUE,8.3,4.5,ind,E-W,rubble with lime mortar,ind,TRUE ,inc,inc,0
blnmc,Balaruminmore,Colonsay,colonsay and oronsay,colonsayi,TRUE,encps,Loairn,FALSE,>1,>1,NR39SE 14,TRUE,ind,ind,ind,ind,ind,ind,TRUE,22m diametre,turf bank,0
mcrns,Machrins,Colonsay,colonsay and oronsay,colonsayi,TRUE,longc,Loairn,FALSE,>1,>1,NR39SE 47,FALSE,,,,,,,FALSE,,,5
cmory,Cill Moire,Oronsay,colonsay and oronsay,colonsayi,FALSE,uncps,Loairn,FALSE,>1,>1,NR38NE 1,TRUE,5.5,3.5,ind,E-W,ind,ind,FALSE,,,0
clmhc,Cill Mhoire,Colonsay,colonsay and oronsay,colonsayi,FALSE,encps,Loairn,FALSE,>1,>2,NR39NE 6,TRUE,7,4,ind,E-W,ind,ind,TRUE ,inc,inc,0
clhsc,Colonsay House,Colonsay,colonsay and oronsay,colonsayi,TRUE,encps,Loairn,FALSE,>1,>1,NR39NE 3.00,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
crgnh,Craignish,Craignish,craignish,craignishg,TRUE,encps,Loairn,TRUE,<2,>1,NM70SE 3.00,TRUE,inc,inc,S of W,E-W,rubble,13th c.,TRUE ,inc,inc,0
kbcrh,KilbrideC,Craignish,craignish,craignishg,TRUE,encps,Loairn,FALSE,>1,>1,NM80NW 20,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
ladcb,Leac an Duin Chóir,Barrackan,craignish,craignishg,TRUE,isscp,Loairn,FALSE,>1,>1,NM70SE 18,FALSE,,,,,,,FALSE,,,0
kllen,Killellan,Dunoon,dunoon and kilmun,dunoong,FALSE,encps,nGabráin,FALSE,>2,>2,NS16NW 4,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
towrd,Toward Castle,Dunoon,dunoon and kilmun,dunoong,TRUE,longc,nGabráin,FALSE,>1,>1,NS16NW 7,FALSE,,,,,,,FALSE,,,2
dnoon,Dunoon,Dunoon,dunoon and kilmun,dunoong,FALSE,encps,nGabráin,TRUE,>1,>1,NS17NE 6,TRUE,ind,ind,ind,ind,ind,19th c.,TRUE ,ind,ind,0
inchl,Innellan,Chapelhall,dunoon and kilmun,dunoong,FALSE,longc,nGabráin,FALSE,>1,>1,NS16NW 3,FALSE,,,,,,,FALSE,,,2
arndm,Ardnadam,Dunoon,dunoon and kilmun,dunoong,TRUE,encps,nGabráin,FALSE,>1,>1,NS17NE 7,TRUE,5.3,3.4,W of S,E-W,stone?,ind,TRUE,half and acre?,earth and stone,0
elfhnn,Elanfinan,"Loch Sheil, Morvern",arasaig and moidart,elan fhinan,TRUE,encps,Loairn,TRUE,<3,<3,NM76NE 1.01,TRUE,21,5.6,W of S,E-W,rubble,ind,TRUE ,45 x 40,stone,0
elmnd,Eilean Munde,Lismore,lismore and appin,elanmundel,FALSE,encps,Loairn,TRUE,>1,>1,NN05NE 1.00,TRUE,15.2,4.9,W of S,E-W,stone,ind,TRUE ,inc,inc,0
trbtg,"Ridh' a' Chaibeil, Tarbert",Gigha,gigha and cara,gighacarai,TRUE,encem,nGabráin,FALSE,>1,>1,NR65SE 13,FALSE,,,,,,,TRUE ,25 x 20m,,0
kctgh,KilchattanG,Ghiga,gigha and cara,gighacarai,TRUE,encps,nGabráin,TRUE,>1,>1, NR64NW 1.00,TRUE,11.6,6.1,W of S,E-W,rubble lime mortar,inc,TRUE ,inc,inc,0
carag,"Cara, St. Finnlough's",Gigha,gigha and cara,gighacarai,TRUE,uncps,nGabráin,FALSE,<3,<3,NR64SW 1,TRUE,8.8,5.3,W of N,E-W,stone?,late medieval,FALSE,,,0
cnacr,Cnoc na Carraigh,Gigha,gigha and cara,gighacarai,TRUE,isscp,nGabráin,FALSE,>1,>1,NR64NW 2,FALSE,,,,,,,FALSE,,,0
csltn,Castleton,Kilchael Glassary,kilmichael glassary,glassaryg,TRUE,longc,Loairn,FALSE,>1,>1,NR88SE 4,FALSE,,,,,,,FALSE,,,3
brnkl,Barnakill,Kilmichael Glassary,kilmichael glassary,glassaryg,TRUE,encem,Loairn,FALSE,>1,>1,NR89SW 38,FALSE,,,,,,,FALSE,,,0
kmory,KilmoryKG,Kilmichael Glssary,kilmichael glassary,glassaryg,FALSE,encps,Loairn,FALSE,>1,>1,NR88NE 13,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
kykap,KilmoryK,Knap,south knapdale,glassaryg,TRUE,encps,nGabráin,FALSE,>1,>1,NR77NW 3,TRUE,inc,inc,inc,inc,inc,inc,TRUE ,inc,inc,0
brnrc,Barnakill rock-cut cross,Balinakill,kilmichael glassary,glassaryg,TRUE,isscp,Loairn,FALSE,>1,>1,NR89SW 16,FALSE,,,,,,,FALSE,,,0
kbdrd,KilbrideR,Rhudil,kilmichael glassary,glassaryg,TRUE,uncps,Loairn,FALSE,>1,>1,NR89NE 1,TRUE,13.9,6.5,inc,E-W,stone?,1300,FALSE,,,0
kilne,Kilneuair,Loch Awe,kilmichael glassary,glassaryg,FALSE,encpm,Loairn,FALSE,>1,>1,NM80SE 3.00,TRUE,21,5.7,south,E-W,stone?,medieval,TRUE ,inc,inc,0
abhri,Caibeal A' Bhride,Lochgair,kilmichael glassary,glassaryg,FALSE ,encps,Loairn,FALSE,<3,>1,NR99SW 7,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
kmgls,Kilmichael Glassary,kilmichael Glassary,kilmichael glassary,glassaryg,TRUE,encps,Loairn,FALSE,>1,>1,NR89SE 15.00,TRUE,inc,inc,inc,E-W,ind,medieval,TRUE ,inc,inc,0
kmbeg,Kilmichael Beg,Loch Fyne,kilmichael glassary,glassaryg,FALSE ,uncps,Loairn,FALSE,<2,<2,NR99SE 5,TRUE,9.5,5,inc,NE-SW,stone?,ind,FALSE,,,0
stmld,St. Margaret's,Lochgilphead,kilmichael glassary,glassaryg,TRUE,modsc,Loairn,FALSE,0,0,NR88NE 18,FALSE,,,,,,,FALSE,,,0
kmcum,Kilmachumaig,Lochgair,kilmichael glassary,glassaryg,FALSE ,plcnm,Loairn,FALSE,<3,>1,NR99SW 13,FALSE,,,,,,,FALSE,,,0
klunc,Killevin,Crarae,kilmichael glassary,glassaryg,TRUE,encps,Loairn,TRUE,<3,>1, NR99NE 4,TRUE,ind,ind,ind,E-W,ind,ind,TRUE ,ind,ind,0
cclgd,Christchurch,Lochgilphead,kilmichael glassary,glassaryg,TRUE,modsc,Loairn,FALSE,<2,>1,NR88NE 55.02,FALSE,,,,,,,FALSE,,,0
glncy,Clachan Diseart,Glencorchy,glenorchy and inishail,glenorchyl,FALSE,encps,Loairn,TRUE,<3,>1,NN12NE 8,TRUE,inc,inc,inc,E-W,inc,17th c.,TRUE ,ind,inf,0
achgl,"Auch gleann, Allt Na H-Annait",Glenorchy,glenorchy and inishail,glenorchyl,FALSE,encps,Loairn,FALSE,<3,<3,NN33NW 1,TRUE,ind,ind,ind,ind,ind,ind,TRUE,inc,ind,0
lnakl,St. Kenneth's,Mull,kilfinichen and kilvickeon,inchkenneth,FALSE,encps,Loairn,TRUE,<3,>1,NM43NW 1,TRUE,12.3,6,W of S,E-W,stone?,13th c.,TRUE ,inc,inc,0
inshl,Inishail,Lorn,glenorchy and inishail,inishail,TRUE,encps,Loairn,TRUE,>1,<3,NN02SE 2.00,TRUE,15.6,4.6,W of S,E-W,well-course rubble,13-15TH C.,TRUE ,INC,drystone/modern,0
kmuni,Kilmun,Glen Aray,Inveraray,inverarayg,FALSE,encps,nGabráin,FALSE,<3,>1,NN01SE 1,TRUE,6.6,3.1,ind,E-W,stone?,ind,TRUE ,20m diametre,stone/turf,0
