Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 18 Mar 2019 18:07:09 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"23100","NM84SE 50","Lismore, St Moluags Cathedral","Burial Ground (Period Unassigned), Cathedral (Period Unassigned), Church (Period Unassigned), War Memorial(S) (Period Unassigned)","186079","743497","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 86079 43497","http://canmore.org.uk/site/23100",
"23082","NM84SE 1","Lismore, Tirefour Castle","Broch (Iron Age)","186755","742912","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 86755 42912","http://canmore.org.uk/site/23082",
"76780","NM84SE 25","Lismore, Killandrist, Lismore Gaelic Heritage Centre","Cultivation Remains (Period Unassigned), Farmstead (Period Unassigned)","185530","742850","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8553 4285","http://canmore.org.uk/site/76780",
"151974","NM84SW 14","Lismore, Newfield","Farmstead (Period Unassigned), Findspot, Armlet","184820","740650","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8482 4065","http://canmore.org.uk/site/151974",
"318503","NM84SE 51","Lismore, St Moluags Cathedral","Cross (Period Unassigned)","186079","743497","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 86079 43497","http://canmore.org.uk/site/318503",
"23009","NM83NW 17","Lismore, Cill Chiarain","Burial Ground (Period Unassigned), Chapel (Period Unassigned)","182400","738700","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 824 387","http://canmore.org.uk/site/23009",
"23111","NM84SW 7","Creag An Fhithich, Lismore","Township (Period Unassigned)","183400","740400","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 834 404","http://canmore.org.uk/site/23111",
"108820","NM83NW 270","Lismore, Port Kilcheran, Single Limekiln","Lime Kiln(S) (Period Unassigned)","182571","738625","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 82571 38625","http://canmore.org.uk/site/108820",
"152293","NM84SE 39","Lismore, Port Na Morlachd","Enclosure (Period Unassigned), Farmstead (Period Unassigned), Lime Kiln (Period Unassigned)","186510","744790","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8651 4479","http://canmore.org.uk/site/152293",
"152299","NM84NE 4","Lismore, Glas Dhruim","Building(S) (Period Unassigned), Head Dyke (Post Medieval)(Possible), Lime Kiln (Period Unassigned), Wall(S) (Period Unassigned)","187160","745850","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8716 4585","http://canmore.org.uk/site/152299",
